id_inmueble,titulo,localizacion,precio,metros_cuadrados,m2_construidos,m2_utiles,habitaciones,baños,terraza,estado,planta,exterior,ascensor,anunciante,anunciante_link,link_inmueble,fecha_inclusion
109259861,Piso en venta en Barri Eixample,Alcoy / Alcoi,215000,115,115,105,4,4,,Segunda mano/buen estado,,True,True,SP AGENCIA INMOBILIARIA,https://www.idealista.com/pro/sp-agencia-inmobiliaria/,https://www.idealista.com/inmueble/109259861/,2025-09-12
109254121,Piso en venta en Calle Na Saurina d'Entença,Barri Eixample,115000,200,200,174,5,2,,Segunda mano/para reformar,Planta 2ª exterior,True,True,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109254121/,2025-09-12
109252600,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,145000,142,142,,4,2,,Segunda mano/buen estado,Planta 2ª exterior,True,True,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/109252600/,2025-09-12
109253969,"Piso en venta en Paseo Ovidi Montllor, 4",Centro - Zona Alta,130000,176,176,,3,2,,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/109253969/,2025-09-12
109249875,"Estudio en venta en Calle Casa Blanca, 46",Centro - Zona Alta,70000,80,80,,0,2,,Segunda mano/buen estado,Entreplanta exterior,True,False,,,https://www.idealista.com/inmueble/109249875/,2025-09-12
109254209,Piso en venta en Barri Eixample,Alcoy / Alcoi,122500,78,78,75,2,1,,Segunda mano/buen estado,,True,False,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/109254209/,2025-09-12
109254510,Dúplex en venta en Centro - Zona Alta,Alcoy / Alcoi,170000,123,123,120,3,3,,Segunda mano/buen estado,,True,True,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/109254510/,2025-09-12
108580307,"Piso en venta en Calle Sant Josep, 42",Centro - Zona Alta,73000,60,60,58,,1,,Segunda mano/buen estado,Planta 3ª interior,False,False,Corins Homes,https://www.idealista.com/pro/corinshomes/,https://www.idealista.com/inmueble/108580307/,2025-09-12
107820485,Piso en venta en Centro - Zona Alta,Alcoy / Alcoi,80000,92,92,90,2,2,,Segunda mano/buen estado,Planta 4ª exterior,True,False,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/107820485/,2025-09-12
109258225,"Alquiler de piso en Calle Sant Nicolau, 98",Centro - Zona Alta,700,119,119,,2,2,,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/109258225/,2025-09-12
109256691,Alquiler de piso en Barri Zona Nord,Alcoy / Alcoi,650,135,135,,4,2,,Segunda mano/buen estado,Planta 6ª exterior,True,True,Inmobiliaria Norte,https://www.idealista.com/pro/inmobiliarianorte/,https://www.idealista.com/inmueble/109256691/,2025-09-12
106466181,"Alquiler de piso en Calle Joan Cantó, 6",Centro - Zona Alta,500,80,80,60,,1,True,Segunda mano/buen estado,Planta 4ª exterior,True,True,,,https://www.idealista.com/inmueble/106466181/,2025-09-12
109251441,Alquiler de piso en Calle Alcalde Francesc Boronat,Barri Zona Nord,490,60,60,,2,1,,Segunda mano/buen estado,Entreplanta exterior,True,False,Altages Inmobiliaria,https://www.idealista.com/pro/altages-inmobiliaria/,https://www.idealista.com/inmueble/109251441/,2025-09-12
109173137,Alquiler de estudio en Centro - Zona Alta,Alcoy / Alcoi,400,36,36,,0,1,,Segunda mano/buen estado,Entreplanta exterior,True,False,inmo hobby,https://www.idealista.com/pro/inmo-hobby/,https://www.idealista.com/inmueble/109173137/,2025-09-12
