id_inmueble,titulo,localizacion,precio,metros_cuadrados,m2_construidos,m2_utiles,habitaciones,baños,terraza,estado,planta,exterior,ascensor,anunciante,anunciante_link,link_inmueble,fecha_inclusion,caracteristicas_basicas,caracteristicas_extras,link_anunciante
109242964,"Alquiler de piso en Calle Verge dels Lliris, 18",Centro - Zona Alta,630,70,70.0,,3.0,1.0,True,Segunda mano/buen estado,Planta 1ª exterior,True,False,,,https://www.idealista.com/inmueble/109242964/,2025-09-11,,,
102470803,"Alquiler de piso en Calle Sant Blai, 3",Centro - Zona Alta,650,118,118.0,110.0,3.0,2.0,,Segunda mano/buen estado,Planta 1ª exterior,True,True,,,https://www.idealista.com/inmueble/102470803/,2025-09-11,,,
108112210,Alquiler de piso en Centro - Zona Alta,Alcoy / Alcoi,550,77,77.0,,,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Inmobiliaria Hache,https://www.idealista.com/pro/inmobiliaria-hache/,https://www.idealista.com/inmueble/108112210/,2025-09-11,,,
109226390,Alquiler de piso en Calle Músic Gonçal Blanes,Centro - Zona Alta,600,120,120.0,115.0,4.0,2.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109226390/,2025-09-11,,,
106682398,"Alquiler de piso en Calle Alfafara, 12",Barri Eixample,650,100,100.0,90.0,3.0,2.0,,Segunda mano/buen estado,Planta 4ª exterior,True,True,,,https://www.idealista.com/inmueble/106682398/,2025-09-11,,,
109190154,"Alquiler de piso en Calle Lope de Vega, 14",Barri Santa Rosa,580,75,75.0,,3.0,1.0,,Segunda mano/buen estado,Planta 3ª,,False,Zazume,https://www.idealista.com/pro/zazume/,https://www.idealista.com/inmueble/109190154/,2025-09-11,,,
109184906,"Alquiler de estudio en san nicolau, 61",Centro - Zona Alta,525,88,88.0,,0.0,1.0,,Segunda mano/buen estado,Entreplanta exterior,True,False,,,https://www.idealista.com/inmueble/109184906/,2025-09-11,,,
108625585,"Alquiler de piso en Calle Sant Josep, 42",Centro - Zona Alta,550,60,60.0,58.0,,1.0,,Segunda mano/buen estado,Planta 3ª interior,False,False,Corins Homes,https://www.idealista.com/pro/corinshomes/,https://www.idealista.com/inmueble/108625585/,2025-09-11,,,
109197582,Alquiler de piso en Plaza del Centenari,Barri Santa Rosa,650,90,90.0,74.0,3.0,2.0,,Segunda mano/buen estado,,True,True,C I M E G Consulting,https://www.idealista.com/pro/cimeg-consulting/,https://www.idealista.com/inmueble/109197582/,2025-09-11,,,
109199073,Alquiler de piso en Calle Sant Eloi,Barri Zona Nord,590,94,94.0,,3.0,1.0,,Segunda mano/buen estado,Planta 2ª exterior,True,False,INVERNOMICS REAL ESTATE,https://www.idealista.com/pro/invernomics-real-estate/,https://www.idealista.com/inmueble/109199073/,2025-09-11,,,
106714287,Alquiler de piso en Calle Joaquim Sorolla,Barri Santa Rosa,550,75,75.0,72.0,3.0,1.0,True,Segunda mano/buen estado,Planta 3ª exterior,True,False,Investhome,https://www.idealista.com/pro/investhome/,https://www.idealista.com/inmueble/106714287/,2025-09-11,,,
109100988,"Alquiler de piso en Calle Góngora, 3",Barri Eixample,750,120,120.0,108.0,3.0,2.0,,Segunda mano/buen estado,Planta 5ª exterior,True,True,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109100988/,2025-09-11,,,
109188040,Alquiler de piso en Barri Santa Rosa,Alcoy / Alcoi,650,122,122.0,,3.0,2.0,,Segunda mano/buen estado,Planta 5ª,,True,Zazume,https://www.idealista.com/pro/zazume/,https://www.idealista.com/inmueble/109188040/,2025-09-11,,,
109183605,"Alquiler de piso en Viaducto, 25",Barri Eixample,900,180,180.0,165.0,4.0,2.0,True,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/109183605/,2025-09-11,,,
109126973,"Alquiler de piso en Calle Sant Agustí, 3",Centro - Zona Alta,675,70,70.0,65.0,2.0,1.0,True,Segunda mano/buen estado,Bajo exterior,True,False,Avanhouse,https://www.idealista.com/pro/avanhouse/,https://www.idealista.com/inmueble/109126973/,2025-09-11,,,
108319704,"Alquiler de piso en Calle Santa Rita, 19",Centro - Zona Alta,500,45,45.0,,,1.0,,Segunda mano/buen estado,Planta 5ª interior,False,False,,,https://www.idealista.com/inmueble/108319704/,2025-09-11,,,
108865182,Alquiler de piso en Calle Diego Fernando Montañés,Centro - Zona Alta,750,71,71.0,69.0,3.0,1.0,,Segunda mano/buen estado,Bajo exterior,True,False,Inversiones Car&Mar,https://www.idealista.com/pro/inversiones-car-mar/,https://www.idealista.com/inmueble/108865182/,2025-09-11,,,
109117798,"Alquiler de ático en Avenida País Valencià, 64",Centro - Zona Alta,700,45,45.0,40.0,0.0,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,True,,,https://www.idealista.com/inmueble/109117798/,2025-09-11,,,
109166332,"Alquiler de piso en Calle Lope de Vega, 14",Barri Santa Rosa,650,70,70.0,,2.0,1.0,,Segunda mano/buen estado,Planta 2ª,,False,Zazume,https://www.idealista.com/pro/zazume/,https://www.idealista.com/inmueble/109166332/,2025-09-11,,,
109023961,Alquiler de piso en Calle Sant Joan de Ribera,Centro - Zona Alta,650,82,82.0,81.0,3.0,1.0,,Segunda mano/buen estado,Planta 1ª exterior,True,True,Investhome,https://www.idealista.com/pro/investhome/,https://www.idealista.com/inmueble/109023961/,2025-09-11,,,
109203774,Alquiler de piso en Barri Zona Nord,Alcoy / Alcoi,550,111,111.0,,2.0,1.0,,Segunda mano/buen estado,Planta 4ª,,True,Tarrazó Inmobiliaria,https://www.idealista.com/pro/tarrazo/,https://www.idealista.com/inmueble/109203774/,2025-09-11,,,
109062259,Alquiler de piso en Calle Sant Jaume,Centro - Zona Alta,550,53,53.0,52.0,2.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,Investhome,https://www.idealista.com/pro/investhome/,https://www.idealista.com/inmueble/109062259/,2025-09-11,,,
108396916,Alquiler de casa o chalet independiente en Centro - Zona Alta,Alcoy / Alcoi,1800,205,205.0,,4.0,3.0,True,Segunda mano/buen estado,,,,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108396916/,2025-09-11,,,
109075856,Alquiler de piso en CL Sant Vicent Ferrer,Centro - Zona Alta,525,120,120.0,115.0,2.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,VHogares,https://www.idealista.com/pro/vhogares/,https://www.idealista.com/inmueble/109075856/,2025-09-11,,,
109235070,"Alquiler de estudio en Calle cami, 5",Centro - Zona Alta,480,35,35.0,34.0,0.0,1.0,,Segunda mano/buen estado,Planta 1ª exterior,True,False,,,https://www.idealista.com/inmueble/109235070/,2025-09-11,,,
108852987,Alquiler de casa o chalet independiente en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,1200,140,140.0,,3.0,2.0,,Segunda mano/buen estado,,,,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108852987/,2025-09-11,,,
108958651,"Alquiler de casa rural en Pd Riquer Alt, 15",Barri Batoi - Sargento - Baradello,1500,300,300.0,200.0,6.0,1.0,,Segunda mano/buen estado,,,,Martinez & Asociados,https://www.idealista.com/pro/martinezasociados-39134/,https://www.idealista.com/inmueble/108958651/,2025-09-11,,,
109139571,Alquiler de piso en Barri Eixample,Alcoy / Alcoi,675,117,117.0,,4.0,2.0,,Segunda mano/buen estado,Planta 1ª exterior,True,True,NEXT HOME INMOBILIARIA,https://www.idealista.com/pro/inmonexthome/,https://www.idealista.com/inmueble/109139571/,2025-09-11,,,
107945691,Alquiler de piso en Calle Sant Francesc,Centro - Zona Alta,390,45,45.0,,2.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,Altages Inmobiliaria,https://www.idealista.com/pro/altages-inmobiliaria/,https://www.idealista.com/inmueble/107945691/,2025-09-11,,,
108796390,"Alquiler de piso en Calle Na Saurina d'Entença, 33",Barri Eixample,700,160,160.0,150.0,4.0,2.0,True,Segunda mano/buen estado,Planta 3ª exterior,True,True,,,https://www.idealista.com/inmueble/108796390/,2025-09-11,,,
109160678,Alquiler de piso en Calle Sant Nicolau,Centro - Zona Alta,500,80,80.0,75.0,2.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,Inversiones Car&Mar,https://www.idealista.com/pro/inversiones-car-mar/,https://www.idealista.com/inmueble/109160678/,2025-09-11,,,
86525258,"Alquiler de piso en Calle el Tap, 12",Centro - Zona Alta,450,40,40.0,38.0,,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,,,https://www.idealista.com/inmueble/86525258/,2025-09-11,,,
108827256,Alquiler de piso en Calle Cid,Barri Eixample,600,48,48.0,46.0,,1.0,,Segunda mano/buen estado,Bajo exterior,True,False,Inversiones Car&Mar,https://www.idealista.com/pro/inversiones-car-mar/,https://www.idealista.com/inmueble/108827256/,2025-09-11,,,
108569251,"Alquiler de piso en Alameda Camilo Sesto, 22",Barri Eixample,860,125,125.0,115.0,5.0,2.0,,Segunda mano/buen estado,Planta 4ª exterior,True,True,,,https://www.idealista.com/inmueble/108569251/,2025-09-11,,,
102207482,Alquiler de estudio en Calle Sant Nicolau,Centro - Zona Alta,295,25,25.0,,0.0,1.0,,Segunda mano/buen estado,Entreplanta exterior,True,False,Altages Inmobiliaria,https://www.idealista.com/pro/altages-inmobiliaria/,https://www.idealista.com/inmueble/102207482/,2025-09-11,,,
107943831,Alquiler de piso en Barri Santa Rosa,Alcoy / Alcoi,700,127,127.0,120.0,4.0,2.0,True,Segunda mano/buen estado,Planta 5ª exterior,True,True,NEXT HOME INMOBILIARIA,https://www.idealista.com/pro/inmonexthome/,https://www.idealista.com/inmueble/107943831/,2025-09-11,,,
108122782,Alquiler de estudio en Centro - Zona Alta,Alcoy / Alcoi,400,30,30.0,,0.0,1.0,,Segunda mano/buen estado,Planta 2ª exterior,True,True,Inmobiliaria Hache,https://www.idealista.com/pro/inmobiliaria-hache/,https://www.idealista.com/inmueble/108122782/,2025-09-11,,,
108994627,Alquiler de masía en Centro - Zona Alta,Alcoy / Alcoi,1500,300,300.0,250.0,5.0,1.0,,Segunda mano/buen estado,,,,Abarca servicios inmobiliarios,https://www.idealista.com/pro/inmoabarca/,https://www.idealista.com/inmueble/108994627/,2025-09-11,,,
109158658,Alquiler de piso en Barri Eixample,Alcoy / Alcoi,625,105,105.0,,3.0,1.0,,Segunda mano/buen estado,Planta 5ª exterior,True,True,,,https://www.idealista.com/inmueble/109158658/,2025-09-11,,,
109155640,Alquiler de piso en Centro - Zona Alta,Alcoy / Alcoi,600,62,62.0,,2.0,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,,,https://www.idealista.com/inmueble/109155640/,2025-09-11,,,
108885490,Alquiler de piso en Calle Rigobert Albors,Centro - Zona Alta,600,85,85.0,,3.0,1.0,,Segunda mano/buen estado,Planta 1ª exterior,True,True,Altages Inmobiliaria,https://www.idealista.com/pro/altages-inmobiliaria/,https://www.idealista.com/inmueble/108885490/,2025-09-11,,,
91703475,"Alquiler de piso en Calle Puríssima, 14",Centro - Zona Alta,460,75,75.0,56.0,2.0,1.0,,Segunda mano/buen estado,Bajo exterior,True,False,,,https://www.idealista.com/inmueble/91703475/,2025-09-11,,,
109033284,"Alquiler de piso en Calle Sabadell, 21",Barri Zona Nord,675,85,85.0,,2.0,1.0,,Segunda mano/buen estado,Planta 1ª exterior,True,True,,,https://www.idealista.com/inmueble/109033284/,2025-09-11,,,
102440312,Alquiler de estudio en sant francesc,Centro - Zona Alta,450,35,35.0,30.0,0.0,1.0,,Segunda mano/buen estado,Planta 3ª interior,False,False,Loving flat,https://www.idealista.com/pro/loving-flat/,https://www.idealista.com/inmueble/102440312/,2025-09-11,,,
109193186,"Alquiler de piso en Calle Doctor Guerau, 10",Centro - Zona Alta,600,78,78.0,66.0,3.0,1.0,,Segunda mano/buen estado,Planta 3ª interior,False,False,,,https://www.idealista.com/inmueble/109193186/,2025-09-11,,,
101854015,Alquiler de piso en Barri Eixample,Alcoy / Alcoi,550,82,82.0,72.0,2.0,1.0,,Segunda mano/buen estado,Planta 1ª exterior,True,True,NEXT HOME INMOBILIARIA,https://www.idealista.com/pro/inmonexthome/,https://www.idealista.com/inmueble/101854015/,2025-09-11,,,
108790501,"Alquiler de piso en Calle Juan Gil Albert, 2",Barri Zona Nord,900,176,176.0,,4.0,2.0,,Segunda mano/buen estado,Planta 3ª exterior,True,True,,,https://www.idealista.com/inmueble/108790501/,2025-09-11,,,
