id_inmueble,link_inmueble,link_inmueble_siguiente,titulo,localizacion,municipio,precio,precio_bajada,metros_cuadrados,habitaciones,baños,consumo_energia,emisiones_energia,descripcion,breadcrumb,fotos_total,ref_catastral,edificabilidad_m2techo,parcela_m2,parcela_min_m2,fachada_min_m,altura_max_m,sector_urbanistico,anunciante,zona,fecha_inclusion
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/no-amueblado/187601529/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/no-amueblado/187601529/d,,Piso en venta en Zona Nord,Alcoy / Alcoi,Alcoy / Alcoi,60000,,110,4,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"oportunidad de adquirir una amplia vivienda para reformar a tu gusto en la localidad de alcoy. vivienda de 110 m² distribuidos en amplio salon comedor, 4 habitaciones, 1 cuarto de baño y cocina. el piso se deja con los techos arreglados. ref: v12123 Molmar gestión inmobiliaria e hipotecaria s. L trata la información que nos facilita con el fin de prestarle el servicio solicitado y realizar la facturación del mismo. Los datos proporcionados se conservarán mientras se mantenga la relación comercial o durante el tiempo necesario para cumplir con las obligaciones legales. Los datos no se comunicarán a terceros salvo que ello sea necesario para la prestación del servicio solicitado o en los casos en que exista una obligación legal. Usted tiene derecho a obtener confirmación sobre si en molmar gestión inmobiliaria e hipotecaria s. L. Estamos tratando sus datos personales por tanto tiene derecho a acceder a sus datos personales, rectificar los datos inexactos o solicitar su supresión cuando los datos ya no sean necesarios.",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,4,,,,,,,,MOLMAR GESTION INMOBILIARIA E,Zona Nord,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/187450825/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/187450825/d,,Piso en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,63500,2000,143,,,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"PISO EN CENTRO DIAFANO PARA REFORMAR-Calle San Jose ENTREPLANTA SIN ASCENSOR de 143 metros Piso diáfano con infinitas posibilidades de reforma. Este espacio ofrece la libertad de una reforma integral para adaptarlo a cualquier estilo. Actualmente cuenta con un proyecto ya diseñado por un arquitecto que divide la vivienda en 4 habitaciones y 3 baños como se muestra en los planos. Actualmente se encuentra en una rehabilitación de la ITE, poniendo el edificio al día tanto de estructura como otros aspectos exigidos en la misma. PRECIO DE VENTA: 63.500.-EUROS",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,24,,,,,,,,Inmobiliaria Sanchéz,Centre - Zona Alta,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-jardin-ascensor-patio/183819908/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-jardin-ascensor-patio/183819908/d,,"Piso en venta en  Pintor Gisbert, 2, Centre - Zona Alta",Alcoy / Alcoi,Alcoy / Alcoi,238000,,201,3,3,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"¿Te gusta Alcoy y en particular el Centro? ¿Quieres vivir en un piso de 177 m² frente al Parterre? ¿Eres de los que disfrutas las Fiestas de San Jorge y las Navidades en Alcoy?... Si se cumplen todos estos requisitos, éste es el piso ideal para ti y los tuyos. Una vivienda con su preciosa terraza al Parterre que te permitirá disfrutar del frescor del jardín en primavera ofreciéndote unas vistas verdes que no pasan desapercibidas haciéndote sentir que no estas en la ciudad. Vivir en el Centro de Alcoy frente al Parterre, es vivir doblemente en Alcoy y en el campo a la vez. Si de verdad estáis pensando en vivir en el Centro, en un piso grande con 3 dormitorios y sus tres baños, con chimenea para el invierno y frente al mejor parque de Alcoy, no lo dudes...Llámanos y ven a conocer la vivienda.¡¡ No pierdas esta oportunidad !!",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,61,,,,,,,,Remax Concorde,Centre - Zona Alta,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-parking-ascensor/187488191/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-parking-ascensor/187488191/d,,Piso en venta en Santa Rosa,Alcoy / Alcoi,Alcoy / Alcoi,105000,,88,3,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,Excelente piso ubicado en sexta planta con ascensor. Ofrece unas calidades superiores y cuenta con tres dormitorios y un baño. Acogedor salón comedor y cocina compacta totalmente equipada. Creemos que este inmueble tiene un precio inmejorable y es apto tanto para una familia como para una pareja joven. Cabe la posibilidad de adquirir una plaza de garaje por tan solo 15.000€ más. Kapitalia Inmobiliaria Sant Llorenç 29. 5ª planta. 96 238 76 81 www.kapitalia.net,Alicante > Alcoià > Alcoy / Alcoi > Santa Rosa,9,,,,,,,,Kapitalia Inmobiliaria,Santa Rosa,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero-amueblado/187449449/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero-amueblado/187449449/d,,Piso en venta en Santa Rosa,Alcoy / Alcoi,Alcoy / Alcoi,61000,,50,2,1,Etiqueta de calificación energética: G Consumo energía: 298 kW h m² / año,Etiqueta de calificación energética: F Emisiones: 58 kg CO₂ m² / año,"Este coqueto apartamento está ubicado en una de las arterias principales de Alcoy, en la calle Oliver. Se sitúa a 1 minuto de supermercados, colegios e infinidad de servicios, además está en una ubicación que te conecta directamente con la autovía dirección Valencia o Alicante. Cercano a la universidad y al lado del hospital IMED SAN JORGE. La vivienda tiene 45 metros cuadrados pero están tan bien distribuidos que da la impresión de contar con más: ·Salón con balcón ·Dormitorio con armario empotrado ·Comedor con vistas despejadas y conexión directa a la COCINA ·Baño El edificio ha pasado la ITE recientemente y tiene una terraza comunitaria además de un trastero por cada vivienda. NO SE PUEDE HIPOTECAR [IW]",Alicante > Alcoià > Alcoy / Alcoi > Santa Rosa,24,,,,,,,,Sofia Paños Servicios Inmobiliarios,Santa Rosa,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/no-amueblado/187567174/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/no-amueblado/187567174/d,,"Piso en venta en Carrer Bernat Fenollar, Zona Nord",Alcoy / Alcoi,Alcoy / Alcoi,85000,,70,3,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Piso de 70m2 distribuidos en 3 habitaciones, una con armario empotrado, y otro en el pasillo, 1 baño, cocina completa y comedor salón, muy luminoso, con balcón, ventanales cambiados y con mosquiteras. Se vende sin amueblar, es un 3º sin ascensor.",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,10,,,,,,,,COEM INNOVA SL,Zona Nord,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-jardin-trastero-patio/187468407/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-jardin-trastero-patio/187468407/d,,Casa adosada en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,235000,,160,4,2,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Te presentamos esta magnífica casa unifamiliar de 160 m² construidos, distribuida en dos plantas, situada en la tranquila y bien comunicada Calle Doña Amalia, en Alcoy. Una vivienda ideal para quienes buscan amplitud, comodidad y espacios exteriores para disfrutar en familia o con amigos. Planta baja: funcionalidad y acceso directo Garaje privado con acceso directo a la vivienda, para mayor comodidad y seguridad. Amplio salón-comedor, luminoso y con espacio para crear diferentes ambientes. Cocina independiente, perfectamente distribuida y con acceso fluido al resto de la planta. Baño completo y una habitación polivalente, ideal como despacho, dormitorio de invitados o sala de juegos. Primera planta: zona de descanso y almacenaje Tres dormitorios: Dormitorio principal con un elegante vestidor y baño en suite, diseñado para ofrecer privacidad y confort. Dos dormitorios adicionales, perfectos para niños, invitados o como salas polivalentes. Cuarto de almacenaje, ideal para mantener la casa ordenada. Aseo para terminar, con la instalación de fontanería ya realizada, listo para adaptarlo a tu gusto. Espacios exteriores que enamoran Pérgola cerrada de 30 m² con chimenea de leña: un espacio perfecto para reuniones, celebraciones o como sala de estar adicional durante todo el año. Patio de 90 m², un auténtico oasis al aire libre para disfrutar de momentos de relax, barbacoas o juegos infantiles. ✅ Suelo de gres cerámico, resistente y fácil de mantener. ✅ Ventanales Climalit con mosquiteras, que aseguran una excelente iluminación natural y aislamiento térmico/acústico. ✅ Tres climatizadores (aire acondicionado frío/calor) para un confort total en cualquier época del año. ✅ Fachada pendiente de terminar, lo que te permitirá personalizarla a tu estilo.",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,24,,,,,,,,INMOBILIARIA ARACIL,Centre - Zona Alta,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/no-amueblado/187583167/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/no-amueblado/187583167/d,,Casa o chalet en venta en Eixample,Alcoy / Alcoi,Alcoy / Alcoi,85000,,130,,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"CASA PARA TOTALMENTE REFORMAR CON MAGNIFICAS VISTAS !!!!!!!! Casa de 130m2 , repartido en tres plantas, la última planta abuhardillada, totalmente para reformar, en estupenda ubicación en plena montaña, con magníficas vistas al Parc Natural de la Font Roja. Un lienzo en blanco para dejar volar tu imaginación y diseñar la casa de tu vida. A 3 minutos de la ciudad. Este inmueble está sujeto a cambios de precio o retirada del mercado sin previo aviso. La información de este anuncio en su totalidad (Fotos, texto o cualquier otro contenido del mismo) se muestra a título informativo y no contractual y no es vinculante, dado que la información es ofrecida por terceros y puede contener errores. El precio no incluye lo siguiente: honorarios de la agencia inmobiliaria, ITP y otros gastos de la Compraventa (Notaria, Gestoría y registro). Negociación y mediación para conseguir un acuerdo que beneficie a las dos partes. Estudio Financiero gratuito  que le conseguirá la mejor financiación y préstamo hipotecario (Pudiendo llegar hasta el 100%+gastos). No trabajamos para el banco, TRABAJAMOS PARA TI. Gestión de los documentos y asesoramiento legal y fiscal. Acompañamiento durante la firma de las arras y del contrato final de compraventa ante el notario para ayudar a verificar que todo sea correcto. Nuestro objetivo es encontrar siempre la mejor solución adaptada a todas las necesidades de nuestros clientes. Te invitamos a venir a visitarlo; estaremos encantados de atenderte y mostrarte todas las posibilidades que este piso tiene para ofrecer. Si quiere vender su casa sin problemas al mejor precio, hemos creado un formulario de contacto para poder asesorarle y tasar su piso totalmente GRATIS, contáctenos:  https://adanpa.mobiliagestion.es/es/contacto Y si lo que  quiere es ver más inmuebles de nuestra inmobiliaria en este portal de internet, puede pulsar en nuestro logo ( gestores inmobiliarios), allí, encontrará más inmuebles como éste o bien, visitar nuestra página web donde encontrará el piso que está buscando, entre en: www.gestoresinmobiliarios.online",Alicante > Alcoià > Alcoy / Alcoi > Eixample,56,,,,,,,,GESTORES INMOBILIARIOS,Eixample,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/parking-trastero-ascensor/187530695/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/parking-trastero-ascensor/187530695/d,,Piso en venta en Zona Nord,Alcoy / Alcoi,Alcoy / Alcoi,135000,,110,4,2,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Se vende este espacioso piso de 110 m², situado en una de las zonas más demandadas de Alcoy: la Zona Norte. Ubicado en un tercer piso con ascensor, destaca por su luminosidad, distribución funcional y las comodidades que lo convierten en una vivienda lista para entrar a vivir. Distribución y características: ✅ 4 habitaciones, perfectas para toda la familia, invitados o despacho. ✅ 2 baños completos, cómodos y bien distribuidos. ✅ Cocina independiente con galería, práctica y funcional. ✅ Amplio salón-comedor, muy luminoso y con espacio para crear diferentes ambientes. ✅ Calefacción instalada, para un mayor confort en invierno. ✅ Plaza de garaje y trastero incluidos, un plus de comodidad y almacenaje.",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,12,,,,,,,,INMOBILIARIA ARACIL,Zona Nord,2025-09-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/187612063/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/187612063/d,,Piso en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,62000,,85,2,1,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Se vende piso CON INQUILINO en Alcoy, a modo de inversión, ubicado en la calle el Camí. Cuenta con un total de 85m2 que se distribuyen en 2 habitaciones, 1 cuarto de baño, salón-comedor y cocina con despensa. Es un 4º SIN ascensor. EL PRECIO DE VENTA ES DE 62.000 EUROS. -La vivienda está alquilada desde el día 1 de mayo del 2023, con contrato de larga duración, y pagando el inquilino 335 euros mensuales-",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,15,,,,,,,,Inmobiliaria Sanchéz,Centre - Zona Alta,2025-09-23
