id_inmueble,link_inmueble,link_inmueble_siguiente,titulo,localizacion,municipio,precio,precio_bajada,metros_cuadrados,habitaciones,baños,consumo_energia,emisiones_energia,descripcion,breadcrumb,fotos_total,ref_catastral,edificabilidad_m2techo,parcela_m2,parcela_min_m2,fachada_min_m,altura_max_m,sector_urbanistico,anunciante,zona,fecha_inclusion
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/184998912/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/184998912/d,,"Casa o chalet en venta en Forn del Vidre, Centre - Zona Alta",Alcoy / Alcoi,Alcoy / Alcoi,170000.0,19000.0,322.0,1.0,1.0,Etiqueta de calificación energética: Exento,Etiqueta de calificación energética: Exento,"NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR Excelente oportunidad de adquirir esta Parcela urbana residencial de 569m2, aunque registralmente son 6.324,35m2. De forma irregular, alargada, con una longitud de 55,10 metros y una anchura media de 11,70 metros. Tiene fachada a la calle Forn del Vidre, de 7,35 metros. Al este linda, con una parcela y un camino por medio, con el cauce del río Molinar. En el interior existen 2 edificaciones a reformar o derribar. Una de 321m2 y otra de 70 m2. La parcela está dentro del Sector 2- Casco Antiguo. -Ref. catastral: 9959326YH1895N0001ZX -Altura Máx. 12mt -Parcela mínima 60m2 -Fachada mínima 4,50m -Edificabilidad: 900m2 -Se podría construir tanto edificación plurifamiliar como unifamiliar. La parcela está en Alcoy, una localidad que cuenta con excelentes comunicaciones, conectándose con la ciudad de Alicante por la carretera N-340, y con Játiva-Valencia por el Norte, con enlaces a la A-3. También supone una de las principales vías de comunicación la autovia A7. Alcoy ofrece servicios médicos destacados con un hospital comarcal y varios centros de salud. Posee una amplia oferta educativa, incluyendo universidades. Su comercio combina tradición y modernidad. Está bien comunicado por la A-7 y carreteras locales, ideal para vivir. Hipoges es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Hipoges cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia. ¿Necesitas financiación? Te ofrecemos la posibilidad de financiaciones de hasta el 100% para la compra de este inmueble. Entra en Finanwin.com, haz tu simulación y obtén la mejor oferta para tu Hipoteca de la manera más ágil y sencilla.",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,11.0,9959326YH1895N0001ZX,900.0,569.0,60.0,450.0,12.0,Sector 2- Casco Antiguo,Hipoges,Centre - Zona Alta,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/184950615/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/184950615/d,,Piso en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,104690.0,,104.0,1.0,2.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Duplex en zona centro de 104 m2 En la planta principal está cocina equipada con electrodomésticos paleados e integrada en el salón comedor y otra zona diafana amplia Aseo independiente la planta superior tiene dormitorio con bañera de hidromasaje, y baño integrado. Ducha con mampara Para entrar a vivir [IW]",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,16.0,,,,,,,,NEXT HOME INMOBILIARIA,Centre - Zona Alta,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-terraza-trastero-ascensor-amueblado/186485007/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-terraza-trastero-ascensor-amueblado/186485007/d,,"Ático en venta en Avenida Alameda Camilo Sesto, Eixample",Alcoy / Alcoi,Alcoy / Alcoi,165000.0,15000.0,94.0,4.0,1.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"ÁTICO DE 4 HABITACIONES EN LA ALAMEDA Te presentamos este espectacular ático situado en la mejor zona de Alcoy, en plena Avenida de la Alameda, el corazón del Eixample. Una ubicación inmejorable que te permitirá disfrutar de todos los servicios a pie de calle: supermercados, restaurantes, comercios, transporte público, centros educativos y mucho más. La vivienda destaca por su amplitud, luminosidad y una gran terraza privada perfecta para disfrutar al aire libre con familiares y amigos. Distribución de la vivienda: - Salón-comedor amplio y luminoso, equipado con aire acondicionado y chimenea, ideal para crear un ambiente acogedor todo el año. También cuenta con salida a una espectacular terraza donde podrás disfrutar de buenos momentos al sol. - Cocina independiente, totalmente equipada y lista para entrar a vivir. - Dos habitaciones dobles con armarios empotrados, muy luminosas y funcionales. - Dos habitaciones individuales, una de ellas con salida directa a la terraza, perfectas como dormitorio, despacho o sala polivalente. - Un cuarto de baño completo con bañera. Cabe destacar que gracias a no encontrarse con ninguna edificación más alta ni delante ni detrás del edificio, la vivienda cuenta con vistas y mucha luminosidad en todas las estancias. Además, la vivienda cuenta con split de aire acondicionado en el pasillo, lo que mejora la climatización en toda la casa, y se incluye trastero, ideal para almacenamiento adicional. Si buscas vivir en una zona céntrica, con todos los servicios y en una vivienda única con terraza, ¡esta es tu oportunidad! VEN A VERLA SIN COMPROMISO ________________________________________________________________________________ En la inmobiliaria Núcleo Alcoy te acompañamos de principio a fin en tu búsqueda. Nos situamos en la Avda. Alameda Camilo Sesto 64. Alcoy. Ven a conocernos en nuestro amplio horario comercial: de lunes a viernes de 9:30h a 14:00h y de 16:30h a 20:00h y sábados de 10:00h a 14:00h. _________________________ Núcleo gestiones inmobiliarias; Somos 25 oficinas y mas de 80 asesores inmobiliarios a su disposición. Oficinas en Alicante, Sant Joan d´Alacant y Torrevieja. Además de oficinas en Valencia, Sevilla y Zaragoza. Realizamos valoraciones gratuitas. Les garantizamos el mejor servicio. * cámara de realidad virtual * promoción premium en los mejores portales inmobiliarios * revista inmobiliaria bimensual con tirada de 15.000 copias. * departamento de intermediación financiera. Hasta el 100% de la hipoteca. * base de datos de compradores compartida por las 5 oficinas y filtrada según afinidad. * profesionalidad, compromiso y experiencia.",Alicante > Alcoià > Alcoy / Alcoi > Eixample,43.0,,,,,,,,Núcleo Alcoy,Eixample,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/186715208/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/186715208/d,,Piso en venta en Santa Rosa,Alcoy / Alcoi,Alcoy / Alcoi,69500.0,,90.0,4.0,1.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Se vende piso CON INQUILINO en Alcoy, a modo de inversión, ubicado en la zona de Santa Rosa, muy próximo a los colegios El Romeral y San Vicente de Paúl (las Paulas). Cuenta con un total de 90m2 que se distribuyen en 4 habitaciones, 1 cuarto de baño, salón-comedor con balcón y cocina con galería incorporada. También incluye 1 trastero. Es una 4ª planta SIN ascensor, en un edificio con terraza comunitaria. De comunidad solo se pagan 8€ mensuales. EL PRECIO DE VENTA ES DE 69.500 EUROS. -La vivienda está alquilada desde el día 1 de junio del 2023, con contrato de larga duración, y pagando el inquilino 380 euros mensuales. Cuenta con un seguro de impago en vigor-",Alicante > Alcoià > Alcoy / Alcoi > Santa Rosa,15.0,,,,,,,,Inmobiliaria Sanchéz,Santa Rosa,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero-ascensor/186775983/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero-ascensor/186775983/d,,"Piso en venta en Avenida Alameda Camilo Sesto, Eixample",Alcoy / Alcoi,Alcoy / Alcoi,138000.0,7000.0,114.0,4.0,2.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"PISO DE 4 HABITACIONES EN LA ALAMEDA Te presentamos esta fantástica vivienda ubicada en la emblemática Avenida Alameda Camilo Sesto, una de las zonas más demandadas de Alcoy. Su excelente ubicación te permitirá disfrutar de todos los servicios a pie de calle: supermercados, comercios, colegios, transporte público, restaurantes y zonas verdes. Características principales: - Salón comedor: amplio, muy luminoso, con radiador eléctrico y acceso directo a un acogedor balcón. - Cocina independiente: totalmente equipada, funcional y con salida a una práctica galería. - 4 habitaciones: - Dos habitaciones dobles con salida al balcón. - Una habitación individual. - Dormitorio principal con ventilador de techo. - 2 baños completos: uno sencillo y otro con plato de ducha. Ambos recién reformados, al igual que la cocina. * La vivienda incluye trastero y acceso a la terraza comunitaria. * Edificio adaptado: cuenta con silla eléctrica salva escaleras para personas con movilidad reducida. * Radiador eléctrico adicional en el pasillo. * Ventanas renovadas en toda la vivienda (excepto las de salida al balcón). ¡Posibilidad de alquilar hasta 2 plazas de garaje en el mismo edificio! ¡No dejes escapar esta oportunidad de vivir en una de las mejores zonas de Alcoy! Ven a visitarla y enamórate de tu próximo hogar. VEN A VERLA SIN COMPROMISO ________________________________________________________________________________ En la inmobiliaria Núcleo Alcoy te acompañamos de principio a fin en tu búsqueda. Nos situamos en la Avda. Alameda Camilo Sesto 64. Alcoy. Ven a conocernos en nuestro amplio horario comercial: de lunes a viernes de 9:30h a 14:00h y de 16:30h a 20:00h y sábados de 10:00h a 14:00h. _________________________ Núcleo gestiones inmobiliarias; Somos 25 oficinas y mas de 80 asesores inmobiliarios a su disposición. Oficinas en Alicante, Sant Joan d´Alacant y Torrevieja. Además de oficinas en Valencia, Sevilla y Zaragoza. Realizamos valoraciones gratuitas. Les garantizamos el mejor servicio. * cámara de realidad virtual * promoción premium en los mejores portales inmobiliarios * revista inmobiliaria bimensual con tirada de 15.000 copias. * departamento de intermediación financiera. Hasta el 100% de la hipoteca. * base de datos de compradores compartida por las 5 oficinas y filtrada según afinidad. * profesionalidad, compromiso y experiencia.",Alicante > Alcoià > Alcoy / Alcoi > Eixample,36.0,,,,,,,,Núcleo Alcoy,Eixample,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/181207246/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/181207246/d,,Piso en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,90000.0,,124.0,3.0,1.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Amplio piso en venta en el centro de la ciudad, cerca del Ayuntamiento. Con una superficie de 124 m2, este inmueble se encuentra en buen estado de conservación con muchas posibilidades de reforma. Cuenta con tres dormitorios espaciosos, un amplio salón comedor y una pequeña cocina integrada en la zona de comedor. El baño dispone de ducha y además, la vivienda cuenta con un práctico trastero. La fachada del edificio cuenta con balcones y la carpintería metálica ha sido renovada, con ventanas oscilobatientes de PVC. El vecindario es tranquilo y la Inspección Técnica de Edificios (ITE) ha sido pasada. Cabe destacar que el piso no dispone de ascensor. ¡No pierdas la oportunidad de adquirir este espacioso y bien ubicado inmueble en el corazón de la ciudad! [IW]",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,16.0,,,,,,,,NEXT HOME INMOBILIARIA,Centro,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/182795651/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/182795651/d,,Piso en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,80000.0,18220.0,98.0,1.0,1.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Vivienda duplex tipo loft en zona centro El piso se distribuye en dos alturas. La planta principal tiene una zona de salón y otra para zona de cocina, baño y estar. El baño es completo, con ducha y con puertas correderas de cristal. Hay una escalera metálica al aire sacada en blanco por donde se accede a la zona de dormitorio con dos armarios empotrados, y cama doble con mesitas. Suelo de tarima Buen vecindario. Hay ascensor [IW]",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,10.0,,,,,,,,NEXT HOME INMOBILIARIA,Centro,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-trastero-ascensor/181210109/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-trastero-ascensor/181210109/d,,Piso en venta en Centre - Zona Alta,Alcoy / Alcoi,Alcoy / Alcoi,185000.0,5000.0,140.0,3.0,2.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Este piso amplio y nuevo se encuentra en una ubicación privilegiada, junto al Pais Valencia; es una última planta. Con una superficie de 130 m2 aproximadamente, cuenta con tres dormitorios dobles con armarios empotrados, perfectos para almacenar todas sus pertenencias. Además, el dormitorio principal cuenta con un baño completo con ducha acristalada para su comodidad. La zona de salón también cuenta con un baño completo con bañera, para que pueda relajarse después de un largo día de trabajo. La cocina independiente es amplia y cuenta con una despensa independiente y una galería acristalada para que pueda disfrutar de la luz natural mientras cocina. Además, se incluye una caldera de calefacción y un frigorífico de dos puertas para su comodidad. El amplio salón comedor es luminoso y cuenta con balcones para disfrutar de las vistas de la ciudad. La calefacción de gas natural y la preinstalación de aire acondicionado por conductos aseguran que esté cómodo en cualquier época del año. Además, el acceso para personas con movilidad reducida es una gran ventaja. El piso también cuenta con una plaza de garaje amplia y accesible, así como dos trasteros, uno en el ático y otro junto a la plaza de garaje.. Tenga en cuenta que este piso cuenta con ascensor. ¡No pierda la oportunidad de ver este hermoso piso y hacerlo su hogar! [IW]",Alicante > Alcoià > Alcoy / Alcoi > Centre - Zona Alta,14.0,,,,,,,,NEXT HOME INMOBILIARIA,Centro,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/terraza-no-amueblado/185703841/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/terraza-no-amueblado/185703841/d,,Piso en venta en Zona Nord,Alcoy / Alcoi,Alcoy / Alcoi,95000.0,,95.0,3.0,1.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Se vende este encantador piso en la Zona Norte de Alcoi - Alcoy. Con una superficie total de 95 m² y 3 habitaciones dobles, este piso en el 1º piso SIN ASCENSOR te ofrece comodidad y amplitud. Cuenta con 1 baño, 1 aseo, armarios empotrados, cocina, comedor, terraza y orientación este, lo que garantiza una agradable entrada de luz natural. El estado de conservación es bueno, con suelos de gres, vidrios dobles y carpintería exterior de aluminio. Además, disfrutarás de la tranquilidad de esta zona con vecinos por planta y un entorno soleado.",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,13.0,,,,,,,,INMOBILIARIA NORTE,Zona Nord,2025-08-23
https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-zona-comunitaria-ascensor-no-amueblado/146788021/d,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-zona-comunitaria-ascensor-no-amueblado/146788021/d,,"Piso en venta en Carrer València, 5, Zona Nord",Alcoy / Alcoi,Alcoy / Alcoi,125000.0,,94.0,2.0,1.0,Etiqueta de calificación energética: G Consumo energía: 999 kW h m² / año,Etiqueta de calificación energética: G Emisiones: 999 kg CO₂ m² / año,"Piso de reciente construcción en venta, por estrenar, en Zona Norte, Alcoy. Situado en la calle Espejo, está cerca de todos los servicios. La vivienda es un primer piso construido en el año 2010. Está en perfectas condiciones y lista para entrar a vivir. Certificado energético en tramites. El piso consta de 2 dormitorios, 1 baño, 1 comedor, 1 cocina, ascensor, pre-instalación para calefacción. Dispone de un amplia terraza con mucha luz. Zona comunitaria y posibilidad de plaza de garaje.",Alicante > Alcoià > Alcoy / Alcoi > Zona Nord,5.0,,,,,,,,SOLER HISPANIA,Zona Nord,2025-08-23
