id_inmueble,titulo,localizacion,precio,metros_cuadrados,m2_construidos,m2_utiles,habitaciones,baños,terraza,estado,planta,exterior,ascensor,anunciante,anunciante_link,link_inmueble,fecha_inclusion
109205294,Chalet adosado en venta en Carretera Molinar,Centro - Zona Alta,415000,361,361,,6,3,True,Segunda mano/buen estado,,,,Inmoparadise,https://www.idealista.com/pro/inmoparadise/,https://www.idealista.com/inmueble/109205294/,2025-09-23
109116527,Piso en venta en CL Na Saurina d'Entenca,Barri Eixample,49000,50,50,,3,1,,Segunda mano/buen estado,Planta 4ª exterior,True,False,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/109116527/,2025-09-23
109100144,Chalet pareado en venta en Calle Cavall Bernat,Barri Zona Nord,230000,140,140,138,3,2,True,Segunda mano/buen estado,,,,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109100144/,2025-09-23
109302568,Piso en venta en Calle Perú,Barri Eixample,95000,98,98,,3,1,,Segunda mano/buen estado,Planta 2ª interior,False,False,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/109302568/,2025-09-23
109227342,Piso en venta en Calle Sant Isidre,Barri Eixample,130000,144,144,130,4,2,,Segunda mano/para reformar,Planta 2ª exterior,True,True,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109227342/,2025-09-23
109223969,Piso en venta en Calle Mestre Espí,Barri Santa Rosa,148000,110,110,105,3,3,,Segunda mano/buen estado,,True,True,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/109223969/,2025-09-23
109325156,Piso en venta en Barri Zona Nord,Alcoy / Alcoi,60000,110,110,,4,1,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Molmar ',https://www.idealista.com/pro/molmarvalencia/,https://www.idealista.com/inmueble/109325156/,2025-09-23
108337605,Masía en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,759000,848,848,,8,8,True,Segunda mano/buen estado,,,,Kapitalia Inmobiliaria,https://www.idealista.com/pro/kapitalia-inmobiliaria/,https://www.idealista.com/inmueble/108337605/,2025-09-23
109254121,Piso en venta en Calle Na Saurina d'Entença,Barri Eixample,115000,200,200,174,5,2,,Segunda mano/para reformar,Planta 2ª exterior,True,True,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109254121/,2025-09-23
109252193,Piso en venta en Centro - Zona Alta,Alcoy / Alcoi,238000,177,177,,3,3,,Segunda mano/buen estado,Planta 1ª exterior,True,True,Kapitalia Inmobiliaria,https://www.idealista.com/pro/kapitalia-inmobiliaria/,https://www.idealista.com/inmueble/109252193/,2025-09-23
109300440,Casa o chalet en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,85000,300,300,,0,1,,Segunda mano/para reformar,,,,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/109300440/,2025-09-23
109205232,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,105000,88,88,,3,1,,Segunda mano/buen estado,Planta 6ª exterior,True,True,Kapitalia Inmobiliaria,https://www.idealista.com/pro/kapitalia-inmobiliaria/,https://www.idealista.com/inmueble/109205232/,2025-09-23
109354909,"Piso en venta en Calle Pintor Cabrera, 11",Barri Eixample,62000,46,46,,2,1,,Segunda mano/buen estado,Planta 2ª interior,False,False,,,https://www.idealista.com/inmueble/109354909/,2025-09-23
108925821,Casa o chalet independiente en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,460000,369,369,360,9,4,,Segunda mano/buen estado,,,,Habitale Inmoval,https://www.idealista.com/pro/habitale-inmoval/,https://www.idealista.com/inmueble/108925821/,2025-09-23
109356652,Casa o chalet independiente en venta en Centro - Zona Alta,Alcoy / Alcoi,144900,169,169,,2,,True,Segunda mano/para reformar,,,,inmo hobby,https://www.idealista.com/pro/inmo-hobby/,https://www.idealista.com/inmueble/109356652/,2025-09-23
107187615,Casa o chalet independiente en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,195000,323,323,,5,3,True,Segunda mano/para reformar,,,,Dream'n Blue Properties,https://www.idealista.com/pro/dreamn-blue-properties/,https://www.idealista.com/inmueble/107187615/,2025-09-23
109218160,"Piso en venta en Calle Sant Joan de Ribera, 55",Centro - Zona Alta,130000,81,81,71,2,2,,Segunda mano/buen estado,Planta 1ª exterior,True,False,SP AGENCIA INMOBILIARIA,https://www.idealista.com/pro/sp-agencia-inmobiliaria/,https://www.idealista.com/inmueble/109218160/,2025-09-23
105487534,Casa o chalet independiente en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,249000,354,354,330,2,1,,Segunda mano/buen estado,,,,Guillermo MUÑIZ,https://www.idealista.com/pro/guillermo-muniz-92424d40-a570-4452-af4e-eca394afca96/,https://www.idealista.com/inmueble/105487534/,2025-09-23
109105892,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,177000,120,120,,4,2,True,Segunda mano/buen estado,,,True,iad España,https://www.idealista.com/pro/iadespana/,https://www.idealista.com/inmueble/109105892/,2025-09-23
109329571,Casa o chalet independiente en venta en batoi-sargento,Barri Batoi - Sargento - Baradello,354000,400,400,340,4,3,True,Segunda mano/buen estado,,,,ArPons Luxury Real Estate,https://www.idealista.com/pro/arpons-luxury-real-estate/,https://www.idealista.com/inmueble/109329571/,2025-09-23
109329283,Casa o chalet independiente en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,354000,399,399,340,4,3,,Segunda mano/buen estado,,,,Inmobiliaria Euro,https://www.idealista.com/pro/inmobiliaria-euro/,https://www.idealista.com/inmueble/109329283/,2025-09-23
108396915,Casa o chalet independiente en venta en Calle Sant Joan de Ribera,Centro - Zona Alta,430000,205,205,,4,3,True,Segunda mano/buen estado,,,,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108396915/,2025-09-23
109311760,"Chalet adosado en venta en Calle Verge del Pilar, 21",Centro - Zona Alta,250000,200,200,,4,3,True,Segunda mano/buen estado,,,,,,https://www.idealista.com/inmueble/109311760/,2025-09-23
109187478,"Finca rústica en venta en Partida De la loma, 6",Barri Zona Nord,380000,200,200,120,3,2,,Segunda mano/buen estado,,,,HOUSES BY THE SEA,https://www.idealista.com/pro/houses-by-the-sea/,https://www.idealista.com/inmueble/109187478/,2025-09-23
94987456,"Piso en venta en Calle Doctor Sempere, 21",Barri Eixample,87900,80,80,75,3,1,True,Segunda mano/buen estado,Planta 2ª exterior,True,False,Grupo Halia,https://www.idealista.com/pro/halia/,https://www.idealista.com/inmueble/94987456/,2025-09-23
105017825,Piso en venta en Barri Eixample,Alcoy / Alcoi,132000,75,75,,2,2,,Segunda mano/buen estado,Bajo exterior,True,False,Kevin Soriano,https://www.idealista.com/pro/kevin-soriano/,https://www.idealista.com/inmueble/105017825/,2025-09-23
109318141,Ático en venta en CL Peru,Barri Eixample,95000,64,64,,3,1,True,Segunda mano/buen estado,Planta 5ª exterior,True,False,Inmobiliaria isba,https://www.idealista.com/pro/isba/,https://www.idealista.com/inmueble/109318141/,2025-09-23
109316787,Ático en venta en Barri Eixample,Alcoy / Alcoi,430000,320,320,280,3,3,True,Segunda mano/buen estado,Planta 1ª exterior,True,False,Atelier Inmo Homes,https://www.idealista.com/pro/atelierinmohomes/,https://www.idealista.com/inmueble/109316787/,2025-09-23
109345466,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,90000,90,90,87,3,1,,Segunda mano/buen estado,,True,True,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/109345466/,2025-09-23
109271276,Casa o chalet independiente en venta en Barri Eixample,Alcoy / Alcoi,260000,140,140,,5,3,True,Segunda mano/buen estado,,,,,,https://www.idealista.com/inmueble/109271276/,2025-09-23
109335928,Piso en venta en Calle Roís de Corella,Barri Zona Nord,83000,80,80,70,3,1,True,Segunda mano/buen estado,Planta 4ª exterior,True,False,Inmobiliaria Blau,https://www.idealista.com/pro/inmobiliariablau/,https://www.idealista.com/inmueble/109335928/,2025-09-23
109300029,Piso en venta en Barri Zona Nord,Alcoy / Alcoi,110000,150,150,146,4,2,,Segunda mano/buen estado,Planta 4ª exterior,True,False,Soñar Home Consulting,https://www.idealista.com/pro/sonarhomeconsulting/,https://www.idealista.com/inmueble/109300029/,2025-09-23
107760503,Casa o chalet independiente en venta en Centro - Zona Alta,Alcoy / Alcoi,430000,281,281,270,4,3,,Segunda mano/buen estado,,,,Inversiones Car&Mar,https://www.idealista.com/pro/inversiones-car-mar/,https://www.idealista.com/inmueble/107760503/,2025-09-23
105980519,Piso en venta en Calle Anselm Aracil,Barri Eixample,79900,83,83,76,3,2,True,Segunda mano/buen estado,Planta 2ª exterior,True,False,Soñar Home Consulting,https://www.idealista.com/pro/sonarhomeconsulting/,https://www.idealista.com/inmueble/105980519/,2025-09-23
109294000,Piso en venta en Calle Murillo,Barri Santa Rosa,68000,92,92,,4,3,,Segunda mano/para reformar,Planta 1ª,,False,Hipoges,https://www.idealista.com/pro/realestate-hipoges/,https://www.idealista.com/inmueble/109294000/,2025-09-23
109184369,Chalet pareado en venta en Calle Cantagallet,Centro - Zona Alta,415000,361,361,300,4,2,True,Segunda mano/buen estado,,,,Two & Two Grupo Inmobiliario,https://www.idealista.com/pro/twenty-two-real-estate/,https://www.idealista.com/inmueble/109184369/,2025-09-23
109222303,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,140000,156,156,,4,2,,Segunda mano/buen estado,Planta 2ª,,True,Tarrazó Inmobiliaria,https://www.idealista.com/pro/tarrazo/,https://www.idealista.com/inmueble/109222303/,2025-09-23
109259861,Piso en venta en Barri Eixample,Alcoy / Alcoi,215000,115,115,105,4,4,,Segunda mano/buen estado,,True,True,SP AGENCIA INMOBILIARIA,https://www.idealista.com/pro/sp-agencia-inmobiliaria/,https://www.idealista.com/inmueble/109259861/,2025-09-23
109185830,"Piso en venta en Plaza del Centenari, 45",Barri Santa Rosa,98000,90,90,,3,2,,Segunda mano/buen estado,Planta 5ª exterior,True,True,Inmobiliaria Blau,https://www.idealista.com/pro/inmobiliariablau/,https://www.idealista.com/inmueble/109185830/,2025-09-23
