habitaciones,baños,precio,link_inmueble,metros_cuadrados,anunciante,zona,tipo_de_operacion,web
1,1,170000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/184998912/d,322.0,Hipoges,"('Alcoi / Centre - Zona Alta', {'municipio': 'Alcoi', 'barrio': 'Centre - Zona Alta', 'subzona': None, 'extras': []})",Venta,Fotocasa
1,2,104690.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/184950615/d,104.0,NEXT HOME INMOBILIARIA,"('Alcoi / Centre - Zona Alta', {'municipio': 'Alcoi', 'barrio': 'Centre - Zona Alta', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,1,165000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-terraza-trastero-ascensor-amueblado/186485007/d,94.0,Núcleo Gestiones Inmobiliarias Alcoy,"('Alcoi / Eixample', {'municipio': 'Alcoi', 'barrio': 'Eixample', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,1,69500.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/186715208/d,90.0,Inmobiliaria Sanchéz,"('Alcoi / Santa Rosa', {'municipio': 'Alcoi', 'barrio': 'Santa Rosa', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,2,138000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero-ascensor/186775983/d,114.0,Núcleo Gestiones Inmobiliarias Alcoy,"('Alcoi / Eixample', {'municipio': 'Alcoi', 'barrio': 'Eixample', 'subzona': None, 'extras': []})",Venta,Fotocasa
3,1,90000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/trastero/181207246/d,124.0,NEXT HOME INMOBILIARIA,"('Alcoi / Centre - Zona Alta', {'municipio': 'Alcoi', 'barrio': 'Centre - Zona Alta', 'subzona': None, 'extras': []})",Venta,Fotocasa
1,1,80000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/182795651/d,98.0,NEXT HOME INMOBILIARIA,"('Alcoi / Centre - Zona Alta', {'municipio': 'Alcoi', 'barrio': 'Centre - Zona Alta', 'subzona': None, 'extras': []})",Venta,Fotocasa
3,2,185000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-trastero-ascensor/181210109/d,140.0,NEXT HOME INMOBILIARIA,"('Alcoi / Centre - Zona Alta', {'municipio': 'Alcoi', 'barrio': 'Centre - Zona Alta', 'subzona': None, 'extras': []})",Venta,Fotocasa
3,1,95000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/terraza-no-amueblado/185703841/d,95.0,INMOBILIARIA NORTE,"('Alcoi / Zona Nord', {'municipio': 'Alcoi', 'barrio': 'Zona Nord', 'subzona': None, 'extras': []})",Venta,Fotocasa
2,1,125000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-zona-comunitaria-ascensor-no-amueblado/146788021/d,94.0,SOLER HISPANIA,"('Alcoi / Zona Nord', {'municipio': 'Alcoi', 'barrio': 'Zona Nord', 'subzona': None, 'extras': []})",Venta,Fotocasa
2,1,63000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/terraza-trastero-no-amueblado/187048032/d,50.0,GESTORES INMOBILIARIOS,"('Alcoi / Santa Rosa', {'municipio': 'Alcoi', 'barrio': 'Santa Rosa', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,2,235000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-jardin-terraza-trastero-piscina-no-amueblado/186596136/d,200.0,INMOBILIARIA CANTO,"('Alcoi / Batoi', {'municipio': 'Alcoi', 'barrio': 'Batoi', 'subzona': None, 'extras': []})",Venta,Fotocasa
2,1,125000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-trastero-ascensor-no-amueblado/146788202/d,90.0,SOLER HISPANIA,"('Alcoi / Zona Nord', {'municipio': 'Alcoi', 'barrio': 'Zona Nord', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,2,155000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-ascensor/187215336/d,159.0,INMOBILIARIA OLCINA,"('Alcoi / Zona Nord', {'municipio': 'Alcoi', 'barrio': 'Zona Nord', 'subzona': None, 'extras': []})",Venta,Fotocasa
3,2,124000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-trastero-ascensor/186040375/d,90.0,INMOBILIARIA NORTE,"('Alcoi / Zona Nord', {'municipio': 'Alcoi', 'barrio': 'Zona Nord', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,2,365000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-parking-jardin-terraza-piscina-piscina/186703522/d,400.0,International Realty,"('Alcoi / Batoi', {'municipio': 'Alcoi', 'barrio': 'Batoi', 'subzona': None, 'extras': []})",Venta,Fotocasa
2,1,48000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/terraza-no-amueblado/185347716/d,79.0,GESTORES INMOBILIARIOS,"('Alcoi / Centre - Zona Alta', {'municipio': 'Alcoi', 'barrio': 'Centre - Zona Alta', 'subzona': None, 'extras': []})",Venta,Fotocasa
5,2,140000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor-no-amueblado/186817100/d,150.0,COEM INNOVA SL,"('Alcoi / Eixample', {'municipio': 'Alcoi', 'barrio': 'Eixample', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,2,155000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-terraza-trastero-ascensor/165733937/d,130.0,INMOBILIARIA CANTO,"('Alcoi / Eixample (Alcoy)', {'municipio': 'Alcoi', 'barrio': 'Eixample', 'subzona': None, 'extras': ['Alcoy']})",Venta,Fotocasa
5,2,130000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-terraza/177530838/d,180.0,INMOBILIARIA NORTE,"('Alcoi / Eixample', {'municipio': 'Alcoi', 'barrio': 'Eixample', 'subzona': None, 'extras': []})",Venta,Fotocasa
4,1,235000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-parking-jardin-terraza-trastero-patio-piscina/186719478/d,170.0,INMOBILIARIA OLCINA,"('Alcoi / Batoi', {'municipio': 'Alcoi', 'barrio': 'Batoi', 'subzona': None, 'extras': []})",Venta,Fotocasa
6,3,2500000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/patio-no-amueblado/161338159/d,2000000.0,inmobiliaria aracil,"('Alcoi', {'municipio': 'Alcoi', 'barrio': None, 'subzona': None, 'extras': []})",Venta,Fotocasa
9,4,295000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/parking-terraza-trastero-piscina-no-amueblado/186318745/d,530.0,INMOBILIARIA CANTO,"('Alcoi / Eixample', {'municipio': 'Alcoi', 'barrio': 'Eixample', 'subzona': None, 'extras': []})",Venta,Fotocasa
